episode	text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
s01e11b	 he didn't get the	"['he', ""didn't"", 'get', 'the']"	[0.39999998, 0.56, 0.79999995, 1.04]	[0.16000002000000008, 0.23999994999999996, 0.24000005000000002, 0.15999989999999986]
s01e11b	 goggles.	['goggles']	[1.1999999]	[0.5]
s01e11b		[]	[]	[]
s01e11b	 oh. well... sounds like you two have	['sounds', 'like', 'you', '2', 'have']	[4.64, 4.88, 5.2, 5.3599997, 5.6]	[0.2400000000000002, 0.3200000000000003, 0.1599997000000002, 0.24000029999999928, 0.23999970000000026]
s01e11b	 issues.	['issues']	[5.8399997]	[0.5]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b	 bye, baby. ciao,	['excuse']	[10.224999]	[0.5]
s01e11b		[]	[]	[]
s01e11b	 bella. do they wait for me	['me', 'do', 'they', 'wait', 'for', 'me']	[13.584999, 13.825, 13.985, 14.224999, 14.465, 14.625]	[0.24000099999999946, 0.16000000000000014, 0.23999900000000096, 0.24000099999999946, 0.16000000000000014, 0.16000000000000014]
s01e11b	 to do this?	['to', 'do', 'this']	[14.785, 14.945, 15.025]	[0.16000000000000014, 0.08000000000000007, 0.5]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b	 so, are	['so', 'are']	[22.009998, 22.25]	[0.2400020000000005, 0.0799999999999983]
s01e11b	 you going to tell him? no, i'm not	"['you', 'gonna', 'tell', 'him', 'no', ""i'm"", 'not']"	[22.33, 22.49, 22.73, 22.89, 23.289999, 23.449999, 23.529999]	[0.16000000000000014, 0.240000000000002, 0.16000000000000014, 0.3999990000000011, 0.1599999999999966, 0.08000000000000185, 0.16000000000000014]
s01e11b	 going to tell him. why would i tell	['gonna', 'tell', 'him', 'why', 'would', 'i', 'tell']	[23.689999, 23.93, 24.169998, 24.41, 24.57, 24.81, 24.89]	[0.24000099999999946, 0.23999799999999993, 0.2400020000000005, 0.16000000000000014, 0.23999999999999844, 0.08000000000000185, 0.16000000000000014]
s01e11b	 him? how about... because if you don't,	"['him', 'how', 'about', 'because', 'if', 'you', ""don't""]"	[25.05, 25.369999, 25.529999, 25.93, 26.169998, 26.33, 26.49]	[0.31999899999999926, 0.16000000000000014, 0.4000009999999996, 0.23999799999999993, 0.16000199999999865, 0.16000000000000014, 0.3200000000000003]
s01e11b	 his mother might?	['his', 'mother', 'might']	[26.81, 27.05, 27.369999]	[0.240000000000002, 0.31999899999999926, 0.5]
s01e11b	 oh. what are you	['what', 'are', 'you']	[29.115002, 29.355001, 29.515001]	[0.23999900000000096, 0.16000000000000014, 0.0799999999999983]
s01e11b	 guys doing here?	['guys', 'doing', 'here']	[29.595001, 29.915, 30.235]	[0.31999899999999926, 0.3200000000000003, 0.5]
s01e11b	 ah, he's not even	"[""he's"", 'not', 'even']"	[31.995, 32.315002, 32.475002]	[0.3200019999999988, 0.1600000000000037, 0.1599999999999966]
s01e11b	 wearing a jock strap.	['wearing', 'a', 'jockstrap']	[32.635002, 32.875, 33.035]	[0.23999799999999993, 0.1599999999999966, 0.5]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b	 what did i ask?	['what', 'did', 'i', 'ask']	[40.21, 40.37, 40.61, 40.85]	[0.1599999999999966, 0.240000000000002, 0.240000000000002, 0.5]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b	 hi.	['hi']	[52.645]	[0.5]
s01e11b	 hi.	['hi']	[53.845]	[0.5]
s01e11b		[]	[]	[]
s01e11b	 what are you doing here?	['what', 'are', 'you', 'doing', 'here']	[56.32, 56.64, 56.719997, 56.879997, 57.12]	[0.3200000000000003, 0.07999699999999876, 0.1600000000000037, 0.24000299999999442, 0.5]
s01e11b	 nothing. i just thought i'd	"['nothing', 'i', 'just', 'thought', ""i'd""]"	[58.399998, 58.719997, 58.8, 59.04, 59.199997]	[0.3199990000000028, 0.08000299999999783, 0.240000000000002, 0.15999700000000416, 0.24000299999999442]
s01e11b	 stop by you know, after the,	['stop', 'by', 'you', 'know', 'after', 'the']	[59.44, 59.68, 59.92, 60.079998, 60.32, 60.559998]	[0.240000000000002, 0.240000000000002, 0.15999800000000164, 0.24000199999999694, 0.23999799999999993, 0.15999899999999911]
s01e11b	 ah, that i, you	['that', 'i', 'you']	[61.76, 62.0, 62.16]	[0.240000000000002, 0.07999800000000334, 0.1600000000000037]
s01e11b	 know. so, what are you doing	['know', 'so', 'what', 'are', 'you', 'doing']	[62.32, 63.125, 63.204998, 63.364998, 63.445, 63.684998]	[0.40500000000000114, 0.07999800000000334, 0.1599999999999966, 0.08000200000000035, 0.23999799999999993, 0.15999899999999911]
s01e11b	 here?	['here']	[63.844997]	[0.5000029999999995]
s01e11b	 um, i'm not really here.	"[""i'm"", 'not', 'really', 'here']"	[66.005, 66.244995, 66.405, 66.645]	[0.2399950000000075, 0.16000499999999818, 0.23999999999999488, 0.2399950000000075]
s01e11b	 i just	['i', 'just']	[66.884995, 67.284996]	[0.32000499999999477, 0.5]
s01e11b	 thought i'd drop these	"['thought', ""i'd"", 'drop', 'these']"	[68.645, 68.884995, 69.125, 69.365]	[0.2399950000000075, 0.24000499999999647, 0.23999999999999488, 0.23999600000000498]
s01e11b	 off on... the	['off', 'on', 'the']	[69.604996, 71.05, 71.29]	[0.5, 0.2400000000000091, 0.1599999999999966]
s01e11b	 way. my way.	['way', 'my', 'way']	[71.45, 72.25, 72.41]	[0.1599999999999966, 0.1599999999999966, 0.5]
s01e11b		[]	[]	[]
s01e11b	 do you,	['do', 'you']	[75.13, 75.37]	[0.2400000000000091, 0.3199999999999932]
s01e11b	 um, come here a	['come', 'here', 'a']	[76.73, 76.89, 77.13]	[0.1599999999999966, 0.23999999999999488, 0.0799999999999983]
s01e11b	 lot...	['lot']	[77.21]	[0.355000000000004]
s01e11b	 without me?	['without', 'me']	[78.765, 79.085]	[0.3199999999999932, 0.5]
s01e11b	 no. no!	['no', 'no']	[80.205, 81.005005]	[0.5, 0.4799950000000024]
s01e11b	 no!	['no']	[81.485]	[0.5]
s01e11b		[]	[]	[]
s01e11b	 so,	['so']	[85.54]	[0.3999999999999915]
s01e11b	 um, do you think he's doing any	"['do', 'you', 'think', ""he's"", 'doing', 'any']"	[86.58, 86.740005, 86.9, 87.060005, 87.3, 87.54]	[0.16000499999999818, 0.1599950000000092, 0.16000499999999818, 0.2399949999999933, 0.2400000000000091, 0.23999999999999488]
s01e11b	 better than he was this morning?	['better', 'than', 'he', 'was', 'this', 'morning']	[87.78, 88.020004, 88.18, 88.340004, 88.5, 88.740005]	[0.240003999999999, 0.1599960000000067, 0.1600039999999865, 0.1599960000000067, 0.24000499999999647, 0.5]
s01e11b	 how	['how']	[90.5]	[0.1599999999999966]
s01e11b	 would i know? i i	['would', 'i', 'know', 'i', 'i']	[90.66, 90.9, 90.98, 91.3, 91.835]	[0.2400000000000091, 0.0799999999999983, 0.3199999999999932, 0.2950000000000017, 0.4000000000000057]
s01e11b	 wasn't here.	"[""wasn't"", 'here']"	[92.235, 92.635]	[0.4000000000000057, 0.5]
s01e11b	 really? not even to, um... change	['really', 'not', 'even', 'to', 'change']	[93.435, 93.915, 94.155, 94.395004, 94.955]	[0.480000000000004, 0.23999999999999488, 0.240003999999999, 0.3199999999999932, 0.3200000000000074]
s01e11b	 his pajamas?!	['his', 'pajamas']	[95.275, 95.675]	[0.3999999999999915, 0.5]
s01e11b		[]	[]	[]
s01e11b		[]	[]	[]
s01e11b	 oh, my	['oh', 'my']	[100.635, 100.875]	[0.23999999999999488, 0.23999999999999488]
s01e11b	 god. you're my friend.	"['god', ""you're"", 'my', 'friend']"	[101.115, 101.740005, 102.060005, 102.14]	[0.4650000000000034, 0.3200000000000074, 0.07999499999999671, 0.480000000000004]
s01e11b	 i... i had to tell	['i', 'i', 'had', 'to', 'tell']	[102.62, 103.020004, 103.26, 103.5, 103.58]	[0.4000039999999956, 0.23999600000000498, 0.23999999999999488, 0.0799999999999983, 0.23999999999999488]
s01e11b	 you. i can't believe	"['you', 'i', ""can't"", 'believe']"	[103.82, 104.78, 105.020004, 105.26]	[0.5, 0.240003999999999, 0.23999600000000498, 0.3199999999999932]
s01e11b	 it.	['it']	[105.58]	[0.5]
