episode	text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
s06e24c	to solidify	['to', 'solidify']	[0.39999998, 0.71999997]	[0.31999999000000007, 0.5000000299999999]
s06e24c	 your commitment. to	['your', 'commitment', 'to']	[1.36, 1.68, 2.3999999]	[0.31999999999999984, 0.4999998000000001, 0.23999999999999977]
s06e24c	 declare your love for one another to the	['declare', 'your', 'love', 'for', 'one', 'another', 'to', 'the']	[2.6399999, 3.04, 3.28, 3.52, 3.6, 3.84, 4.16, 4.24]	[0.4000001000000002, 0.23999999999999977, 0.2400000000000002, 0.08000000000000007, 0.23999999999999977, 0.3200000000000003, 0.08000000000000007, 0.16000000000000014]
s06e24c	 world.	['world']	[4.4]	[0.5]
s06e24c		['yes']	[6.3199997]	[0.5]
s06e24c		[]	[]	[]
s06e24c	 eh... okay, well, that's	"['okay', 'well', ""that's""]"	[9.315, 9.634999, 9.714999]	[0.31999900000000103, 0.08000000000000007, 0.4800009999999997]
s06e24c	 good to know.	['good', 'to', 'know']	[10.195, 10.434999, 10.514999]	[0.23999899999999919, 0.08000000000000007, 0.5]
s06e24c		[]	[]	[]
s06e24c	 ah! the mr.	['the', 'mister']	[13.715, 14.035]	[0.3200000000000003, 0.5]
s06e24c		[]	[]	[]
s06e24c		[]	[]	[]
s06e24c		[]	[]	[]
s06e24c		[]	[]	[]
s06e24c	 bowmont's here! hey,	['hey']	[22.009998]	[0.3200000000000003]
s06e24c	 monica, there's a customer who	"['monica', ""there's"", 'a', 'customer', 'who']"	[22.329998, 22.97, 23.21, 23.289999, 23.609999]	[0.5, 0.240000000000002, 0.07999900000000082, 0.31999999999999673, 0.08000000000000185]
s06e24c	 wants to compliment the chef. shall i let	['wants', 'to', 'compliment', 'the', 'chef', 'shall', 'i', 'let']	[23.689999, 23.849998, 24.009998, 24.41, 24.57, 24.89, 25.05, 25.13]	[0.15999899999999911, 0.16000000000000014, 0.40000200000000063, 0.16000000000000014, 0.3200000000000003, 0.16000000000000014, 0.0799999999999983, 0.15999900000000267]
s06e24c	 him in? sure! i love	['him', 'in', 'sure', 'i', 'love']	[25.289999, 25.449999, 25.945, 26.265, 26.345]	[0.1599999999999966, 0.3350010000000019, 0.3200000000000003, 0.0799999999999983, 0.3999990000000011]
s06e24c	 this part!	['this', 'part']	[26.744999, 26.985]	[0.24000099999999946, 0.5]
s06e24c	 come on	['come', 'on']	[28.825, 29.065]	[0.240000000000002, 0.23999999999999844]
s06e24c	 in. hi.	['in', 'hi']	[29.305, 30.585]	[0.5, 0.5]
s06e24c	 richard.	['richard']	[32.025]	[0.5]
s06e24c	 actually, i'm	"['actually', ""i'm""]"	[33.625, 33.945]	[0.3200000000000003, 0.1599999999999966]
s06e24c	 not here to compliment the	['not', 'here', 'to', 'compliment', 'the']	[34.105, 34.345, 34.505, 34.665, 35.145]	[0.240000000000002, 0.1600000000000037, 0.1599999999999966, 0.480000000000004, 0.1599999999999966]
s06e24c	 chef. oh,	['chef', 'oh', 'well']	[35.305, 36.65, 36.97]	[0.4650000000000034, 0.3200000000000003, 0.240000000000002]
s06e24c	 that's okay. i hate when people come	"[""that's"", 'okay', 'i', 'hate', 'when', 'people', 'come']"	[37.21, 37.45, 37.85, 38.010002, 38.170002, 38.25, 38.49]	[0.240000000000002, 0.3999999999999986, 0.16000199999999865, 0.1599999999999966, 0.07999800000000334, 0.240000000000002, 0.1599999999999966]
s06e24c	 back to compliment the chef. like i	['back', 'to', 'compliment', 'the', 'chef', 'like', 'i']	[38.65, 38.81, 38.97, 39.37, 39.53, 39.85, 40.010002]	[0.1600000000000037, 0.1599999999999966, 0.3999999999999986, 0.1600000000000037, 0.3200000000000003, 0.16000199999999865, 0.1599999999999966]
s06e24c	 have nothing better to do!	['have', 'nothing', 'better', 'to', 'do']	[40.170002, 40.33, 40.57, 40.89, 40.97]	[0.15999800000000164, 0.240000000000002, 0.3200000000000003, 0.0799999999999983, 0.5]
s06e24c		[]	[]	[]
s06e24c	 so what's up?	"['so', ""what's"", 'up']"	[43.69, 43.85, 44.17]	[0.1600000000000037, 0.3200000000000003, 0.3549999999999969]
s06e24c	 well, it was great	['well', 'it', 'was', 'great']	[44.765003, 45.005, 45.485, 45.645]	[0.23999700000000246, 0.4799999999999969, 0.1600000000000037, 0.3200000000000003]
s06e24c	 seeing you the other night.	['seeing', 'you', 'the', 'other', 'night']	[45.965, 46.285, 46.525, 46.685, 46.925003]	[0.3199999999999932, 0.240000000000002, 0.1600000000000037, 0.24000299999999442, 0.5]
s06e24c	 it was good to see you, too.	"['oh', ""it's"", 'good', 'to', 'see', 'you', 'too']"	[47.485, 47.725002, 47.885002, 48.045002, 48.205, 48.365, 48.525]	[0.24000200000000405, 0.1599999999999966, 0.1599999999999966, 0.15999800000000164, 0.1600000000000037, 0.1599999999999966, 0.5]
s06e24c		[]	[]	[]
s06e24c	 did you come down	['did', 'you', 'come', 'down']	[51.165, 51.485, 51.725002, 51.965]	[0.3200000000000003, 0.24000200000000405, 0.23999799999999993, 0.1599999999999966]
s06e24c	 here to tell me that?	['here', 'to', 'tell', 'me', 'that']	[52.125, 52.285, 52.445, 52.605003, 52.765]	[0.1599999999999966, 0.1600000000000037, 0.16000300000000323, 0.15999699999999706, 0.3999999999999986]
s06e24c	 no. i came here to tell you	['no', 'came', 'here', 'to', 'tell', 'you']	[53.165, 54.13, 54.370003, 54.45, 54.61, 54.850002]	[0.5, 0.24000299999999442, 0.07999700000000587, 0.1599999999999966, 0.24000200000000405, 0.07999799999999624]
s06e24c	 something else.	['something', 'else']	[54.93, 55.25]	[0.3200000000000003, 0.5]
s06e24c		[]	[]	[]
s06e24c	 i came here	['came', 'here']	[58.21, 58.45]	[0.240000000000002, 0.5]
s06e24c	 to tell you i still love	['to', 'tell', 'you', 'i', 'still', 'love']	[59.73, 59.89, 60.050003, 60.29, 60.45, 60.690002]	[0.1600000000000037, 0.16000299999999612, 0.23999700000000246, 0.1600000000000037, 0.24000199999999694, 0.1600000000000037]
s06e24c	 you.	['you']	[60.850002]	[0.28499799999999453]
s06e24c		[]	[]	[]
s06e24c	 what, uh... what did	['what', 'what', 'did']	[64.415, 65.215, 65.375]	[0.47999999999998977, 0.1599999999999966, 0.1599960000000067]
s06e24c	 you... what?	['you', 'what']	[65.534996, 65.854996]	[0.240003999999999, 0.5]
s06e24c		[]	[]	[]
s06e24c	 i still love	['i', 'still', 'love']	[68.814995, 69.055, 69.375]	[0.24000500000001068, 0.3199999999999932, 0.1599960000000067]
s06e24c	 you... and	['you', 'and']	[69.534996, 70.66]	[0.5, 0.5]
s06e24c	 i know i probably shouldn't even	"['i', 'know', 'i', 'probably', ""shouldn't"", 'even']"	[71.54, 71.62, 71.94, 72.1, 72.42, 72.740005]	[0.0799999999999983, 0.3199999999999932, 0.1599999999999966, 0.3200000000000074, 0.32000499999999477, 0.2399950000000075]
s06e24c	 be here telling you this.	['be', 'here', 'telling', 'you', 'this']	[72.98, 73.14, 73.700005, 74.020004, 74.18]	[0.1599999999999966, 0.5, 0.3199989999999957, 0.1599960000000067, 0.23999999999999488]
s06e24c	 i mean, you're with chandler, a guy i	"['i', 'mean', ""you're"", 'with', 'chandler', 'a', 'guy', 'i']"	[74.42, 74.5, 74.740005, 74.9, 75.060005, 75.54, 75.62, 75.86]	[0.0799999999999983, 0.24000499999999647, 0.1599950000000092, 0.16000499999999818, 0.4799950000000024, 0.0799999999999983, 0.23999999999999488, 0.0799999999999983]
s06e24c	 really like... and if you say	['really', 'like', 'and', 'if', 'you', 'say']	[75.94, 76.26, 76.66, 76.9, 77.060005, 77.14]	[0.3200000000000074, 0.3999999999999915, 0.2400000000000091, 0.16000499999999818, 0.07999499999999671, 0.24000499999999647]
s06e24c	 he's straight i'll believe you.	"[""he's"", 'straight', ""i'll"", 'believe', 'you']"	[77.380005, 77.62, 77.94, 78.1, 78.42]	[0.2399950000000075, 0.3199999999999932, 0.1599999999999966, 0.3200000000000074, 0.3149999999999977]
s06e24c		[]	[]	[]
s06e24c	 after seeing you the other	['after', 'seeing', 'you', 'the', 'other']	[80.815, 81.215004, 81.455, 81.695, 81.775]	[0.4000039999999956, 0.23999600000000498, 0.23999999999999488, 0.0800000000000125, 0.1599999999999966]
s06e24c	 night i knew if i didn't tell you	"['night', 'i', 'knew', 'if', 'i', ""didn't"", 'tell', 'you']"	[81.935, 82.175, 82.335, 82.495, 82.655, 82.735, 82.895004, 83.055]	[0.23999999999999488, 0.1599999999999966, 0.1600000000000108, 0.1599999999999966, 0.0799999999999983, 0.1600040000000007, 0.1599960000000067, 0.1600039999999865]
s06e24c	 i'd regret it for the rest of my	"[""i'd"", 'regret', 'it', 'for', 'the', 'rest', 'of', 'my']"	[83.215004, 83.455, 83.775, 83.935, 84.095, 84.255, 84.415, 84.575]	[0.23999600000000498, 0.3200000000000074, 0.1599999999999966, 0.1599999999999966, 0.1599999999999966, 0.1600000000000108, 0.1599999999999966, 0.1599999999999966]
s06e24c	 life. letting you go was the	['life', 'letting', 'it', 'go', 'was', 'the']	[84.735, 85.055, 85.295, 85.535, 85.695, 85.935]	[0.3200000000000074, 0.23999999999999488, 0.23999999999999488, 0.1599999999999966, 0.2400000000000091, 0.23999999999999488]
s06e24c	 stupidest thing i ever did.	['stupidest', 'thing', 'i', 'ever', 'did']	[86.175, 86.735, 86.975, 87.135, 87.375]	[0.5, 0.23999999999999488, 0.1600000000000108, 0.23999999999999488, 0.5]
s06e24c		[]	[]	[]
s06e24c	 you know, you're really not supposed to be back	"['you', 'know', ""you're"", 'really', 'not', 'supposed', 'to', 'be', 'back']"	[89.31, 89.46999, 89.63, 89.869995, 90.03, 90.189995, 90.42999, 90.509995, 90.67]	[0.15998999999999342, 0.16000999999999976, 0.2399950000000075, 0.16000499999999818, 0.159994999999995, 0.2399950000000075, 0.08000499999999988, 0.16000499999999818, 0.15999399999999753]
s06e24c	 here.	['here']	[90.829994]	[0.5]
s06e24c	 uh, well, you know, i'm	"['well', 'yeah', ""i'm""]"	[92.509995, 93.07, 93.31]	[0.5, 0.2400000000000091, 0.3199999999999932]
s06e24c	 sorry. i know this is the wrong	['sorry', 'i', 'know', 'this', 'is', 'the', 'wrong']	[93.63, 94.10999, 94.27, 94.42999, 94.549995, 94.67, 94.75]	[0.4799900000000008, 0.16000999999999976, 0.15999000000000763, 0.12000499999999192, 0.12000500000000613, 0.0799999999999983, 0.3999940000000066]
s06e24c	 time and the wrong place	['time', 'and', 'the', 'wrong', 'place']	[95.149994, 95.46999, 95.71, 95.78999, 96.10999]	[0.31999599999998907, 0.24000999999999806, 0.07999000000000933, 0.3199999999999932, 0.40000500000000727]
s06e24c	 but i had to tell	['but', 'i', 'had', 'to', 'tell']	[96.509995, 97.425, 97.665, 97.745, 97.985]	[0.5, 0.2400000000000091, 0.0799999999999983, 0.23999999999999488, 0.23999999999999488]
s06e24c	 you.	['you']	[98.225]	[0.5]
s06e24c	 i want to spend my life with you.	['i', 'wanna', 'spend', 'my', 'life', 'with', 'you']	[99.825, 99.985, 100.385, 100.545, 100.705, 100.945, 101.104996]	[0.1599999999999966, 0.4000000000000057, 0.1599999999999966, 0.1599999999999966, 0.23999999999999488, 0.1599960000000067, 0.1600040000000007]
s06e24c	 i want to marry you.	['i', 'wanna', 'marry', 'you']	[101.265, 101.425, 101.745, 102.065]	[0.1599999999999966, 0.3200000000000074, 0.3199999999999932, 0.5]
s06e24c		[]	[]	[]
s06e24c	 i want to have kids with	['i', 'wanna', 'have', 'kids', 'with']	[104.305, 104.465, 104.784996, 105.025, 105.265]	[0.1599999999999966, 0.3199960000000033, 0.240003999999999, 0.23999999999999488, 0.1599999999999966]
s06e24c	 you. oh,	['you', 'oh']	[105.425, 105.9]	[0.4750000000000085, 0.5]
s06e24c	 my	['my']	[107.020004]	[0.5]
s06e24c	 god. why	['god', 'why']	[109.1, 109.9]	[0.5, 0.23999999999999488]
s06e24c	 don't they put chairs back here?	"[""don't"", 'they', 'put', 'chairs', 'back', 'here']"	[110.14, 110.3, 110.46, 110.700005, 111.020004, 111.18]	[0.1599999999999966, 0.1599999999999966, 0.24000500000001068, 0.3199989999999957, 0.1599960000000067, 0.5]
s06e24c		[]	[]	[]
s06e24c	 look, i know this	['look', 'i', 'know', 'this']	[113.845, 114.005, 114.244995, 114.485]	[0.1599999999999966, 0.2399950000000075, 0.24000499999999647, 0.23999999999999488]
s06e24c	 is crazy, but... am	['is', 'crazy', 'but', 'am']	[114.725, 114.884995, 115.284996, 115.924995]	[0.1599950000000092, 0.40000100000000316, 0.5, 0.16000499999999818]
s06e24c	 i too late? well, y... yes,	['i', 'too', 'late', 'yes']	[116.085, 116.244995, 116.405, 116.805]	[0.1599950000000092, 0.16000499999999818, 0.4000000000000057, 0.5]
s06e24c	 you're too late.	"[""you're"", 'too', 'late']"	[117.924995, 118.165, 118.485]	[0.24000500000001068, 0.3199999999999932, 0.5]
s06e24c	 i mean, where was all this	['where', 'was', 'all', 'this', '3']	[119.524994, 119.765, 119.924995, 120.165, 120.405]	[0.24000599999999395, 0.159994999999995, 0.24000500000001068, 0.23999999999999488, 0.23999999999999488]
s06e24c	 three years ago? well, i know, i	['years', 'ago', 'yeah', 'i', 'know', 'i']	[120.645, 120.884995, 121.284996, 121.524994, 121.685, 122.005]	[0.2399950000000075, 0.40000100000000316, 0.23999799999999993, 0.16000599999999565, 0.3199999999999932, 0.0799999999999983]
s06e24c	 was an idiot...	['was', 'an', 'idiot']	[122.085, 122.590004, 122.75]	[0.42500000000001137, 0.1599960000000067, 0.5]
s06e24c	 and i tried to forget	['and', 'i', 'tried', 'to', 'forget']	[123.950005, 124.19, 124.35, 124.51, 124.67]	[0.2399949999999933, 0.1599999999999966, 0.1600000000000108, 0.1599999999999966, 0.32000499999999477]
s06e24c	 you. i i really did. you	['you', 'i', 'i', 'really', 'did', 'you']	[124.990005, 125.310005, 125.71, 125.87, 126.11, 126.43]	[0.3200000000000074, 0.3999949999999899, 0.1600000000000108, 0.23999999999999488, 0.3200000000000074, 0.0799999999999983]
s06e24c	 know, after we had lunch last	['know', 'after', 'we', 'had', 'lunch', 'last']	[126.51, 126.67, 126.91, 126.990005, 127.310005, 127.55]	[0.1599999999999966, 0.23999999999999488, 0.08000499999999988, 0.3200000000000074, 0.2399949999999933, 0.2400000000000091]
s06e24c	 year i spent six months	['year', 'i', 'spent', '6', 'months']	[127.79, 128.27, 128.43001, 128.83, 129.07]	[0.480000000000004, 0.16000999999999976, 0.3999900000000025, 0.23999999999998067, 0.3199999999999932]
s06e24c	 in africa trying to get you out of	['in', 'africa', 'trying', 'to', 'get', 'you', 'out', 'of']	[129.39, 129.71, 130.11, 130.35, 130.43001, 130.67, 130.75, 130.91]	[0.3200000000000216, 0.4000000000000057, 0.23999999999998067, 0.08001000000001568, 0.2399899999999775, 0.0800000000000125, 0.1599999999999966, 0.1599999999999966]
s06e24c	 my head. what were you doing	['my', 'head', 'what', 'were', 'you', 'doing']	[131.07, 131.15, 131.825, 131.985, 132.14499, 132.22499]	[0.0800000000000125, 0.5, 0.160000000000025, 0.15998999999999342, 0.07999999999998408, 0.32000999999999635]
s06e24c	 in africa? working with	['in', 'africa', 'working', 'with']	[132.545, 132.705, 133.345, 133.58499]	[0.160000000000025, 0.5, 0.23999000000000592, 0.32000999999999635]
s06e24c	 blind kids. oh... what	['blind', 'kids', 'oh', 'what']	[133.905, 134.14499, 134.94499, 135.185]	[0.23999000000000592, 0.5, 0.24001000000001227, 0.23999000000000592]
s06e24c	 are you doing to me?	['are', 'you', 'doing', 'to', 'me']	[135.42499, 135.665, 135.825, 136.14499, 136.305]	[0.24000999999998385, 0.1599999999999966, 0.3199900000000184, 0.16000999999999976, 0.5]
s06e24c		"[""i'm""]"	[138.22499]	[0.16000999999999976]
s06e24c	 oh, look...	['like']	[138.385]	[0.5]
s06e24c	 i'm sorry, but,	"[""i'm"", 'sorry', 'but']"	[140.09, 140.32999, 140.65]	[0.23999000000000592, 0.32000999999999635, 0.23999999999998067]
s06e24c	 um... it's... this is not	"[""it's"", 'this', 'is', 'not']"	[141.84999, 142.17, 142.48999, 142.73]	[0.16000999999999976, 0.3199900000000184, 0.24000999999998385, 0.23999000000000592]
s06e24c	 going to happen. okay, that's	"['gonna', 'happen', 'okay', ""it's""]"	[142.96999, 143.20999, 143.76999, 144.09]	[0.2400000000000091, 0.5, 0.32000999999999635, 0.31998999999999]
s06e24c	 fine. i'll walk away,	"['fine', ""i'll"", 'walk', 'away']"	[144.40999, 144.89, 145.12999, 145.37]	[0.48000999999999294, 0.23999000000000592, 0.24001000000001227, 0.5]
s06e24c	 and i'll never bother you	"['and', ""i'll"", 'never', 'bother', 'you']"	[145.93, 146.17, 146.32999, 146.65, 146.96999]	[0.23999999999998067, 0.15999000000002184, 0.32000999999999635, 0.31998999999999, 0.1599999999999966]
s06e24c	 again but only... if	['again', 'but', 'only', 'if']	[147.12999, 147.60999, 147.93, 148.715]	[0.4800000000000182, 0.32000999999999635, 0.5, 0.1599999999999966]
s06e24c	 you tell me that chandler's willing to	"['you', 'tell', 'me', 'that', ""chandler's"", 'willing', 'to']"	[148.875, 149.035, 149.19499, 149.435, 149.595, 149.995, 150.315]	[0.1599999999999966, 0.15998999999999342, 0.24001000000001227, 0.1599999999999966, 0.4000000000000057, 0.3199999999999932, 0.07999000000000933]
s06e24c	 give you everything i am.	['give', 'you', 'everything', 'i', 'am']	[150.39499, 150.555, 150.635, 150.955, 151.11499]	[0.16000999999999976, 0.07999999999998408, 0.3200000000000216, 0.15998999999999342, 0.5]
s06e24c	 well, he is.	['well', 'he', 'is']	[151.995, 152.315, 152.47499]	[0.3199999999999932, 0.15998999999999342, 0.5]
s06e24c	 yeah, i mean...	['yeah', 'i', 'mean']	[153.595, 153.995, 154.075]	[0.4000000000000057, 0.07999999999998408, 0.5]
s06e24c	 marriage is all he talks	['marriage', 'is', 'all', 'he', 'talks', 'a']	[154.955, 155.275, 155.435, 155.675, 155.83499, 156.12]	[0.3199999999999932, 0.1599999999999966, 0.2400000000000091, 0.15998999999999342, 0.28500999999999976, 0.1599999999999966]
s06e24c	 about. oh, my	['valid', 'oh', 'my']	[156.28, 157.15999, 157.31999]	[0.5, 0.1599999999999966, 0.24001000000001227]
s06e24c	 goodness. in fact,	['goodness', 'in', 'fact']	[157.56, 158.44, 158.59999]	[0.5, 0.15998999999999342, 0.5]
s06e24c	 i'm the one that's making him	"[""i'm"", 'the', 'one', ""that's"", 'making', 'him']"	[159.56, 159.72, 159.95999, 160.12, 160.28, 160.59999]	[0.1599999999999966, 0.23999000000000592, 0.16000999999999976, 0.1599999999999966, 0.31998999999999, 0.32000999999999635]
s06e24c	 wait. you are?	['wait', 'you', 'are']	[160.92, 161.48, 161.64]	[0.5, 0.1599999999999966, 0.4800000000000182]
s06e24c	 yeah. why?	['yeah', 'why']	[162.12, 162.84]	[0.5, 0.5]
s06e24c	 why?	['why']	[163.64]	[0.4550000000000125]
s06e24c	 because of the	['because', 'of', 'the']	[165.775, 166.175, 166.255]	[0.4000000000000057, 0.07999999999998408, 0.16000999999999976]
s06e24c	 government.	['government']	[166.41501]	[0.5]
s06e24c		[]	[]	[]
s06e24c		[]	[]	[]
