episode	text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
s06e15d		[]	[]	[]
s06e15d	 oh, my	['oh', 'my']	[1.76, 2.1599998]	[0.3999998, 0.5]
s06e15d	 god!	['god']	[2.8]	[0.5]
s06e15d	 i know!	['i', 'know']	[5.12, 5.44]	[0.3200000000000003, 0.5]
s06e15d		[]	[]	[]
s06e15d	 i'll tell you something.	['i', 'tell', 'you', 'something']	[7.8399997, 8.0, 8.24, 8.4]	[0.1600003000000001, 0.2400000000000002, 0.16000000000000014, 0.5]
s06e15d	 we are gonna do	['we', 'are', 'gonna', 'do']	[9.615001, 9.775001, 9.935, 10.175]	[0.16000000000000014, 0.1599990000000009, 0.2400000000000002, 0.16000000000000014]
s06e15d	 that again!	['that', 'again']	[10.335, 10.895]	[0.5, 0.5]
s06e15d		[]	[]	[]
s06e15d		['oh', 'okay']	[13.855, 14.095]	[0.2400000000000002, 0.5]
s06e15d		[]	[]	[]
s06e15d		[]	[]	[]
s06e15d		[]	[]	[]
s06e15d		[]	[]	[]
s06e15d		[]	[]	[]
s06e15d		[]	[]	[]
s06e15d		[]	[]	[]
s06e15d		[]	[]	[]
s06e15d	 morning.	['morning']	[26.345]	[0.5]
s06e15d		[]	[]	[]
s06e15d	 oh, right. oh,	['alright', 'yeah', 'oh']	[29.304998, 30.185, 30.744999]	[0.5, 0.5, 0.5]
s06e15d		[]	[]	[]
s06e15d	 god.	['god']	[32.824997]	[0.5]
s06e15d	 oh, i can't believe	"['oh', 'i', ""can't"", 'believe']"	[34.53, 34.85, 35.01, 35.25]	[0.3200000000000003, 0.1599999999999966, 0.240000000000002, 0.4799999999999969]
s06e15d	 joey tribbiani	['joey', 'trippy', 'on', 'he']	[35.73, 36.05, 36.53, 36.93]	[0.3200000000000003, 0.480000000000004, 0.3999999999999986, 0.1600000000000037]
s06e15d	 heard me throw up.	['heard', 'me', 'throw', 'up']	[37.09, 37.41, 37.57, 37.97]	[0.3199999999999932, 0.1600000000000037, 0.3999999999999986, 0.5]
s06e15d		[]	[]	[]
s06e15d	 he actually saw you a	['he', 'actually', 'saw', 'you', 'a']	[40.37, 40.53, 41.01, 41.25, 41.41]	[0.1600000000000037, 0.4799999999999969, 0.240000000000002, 0.1599999999999966, 0.07999800000000334]
s06e15d	 little bit too.	['little', 'bit', 'too', 'no']	[41.489998, 41.73, 41.97, 42.37]	[0.24000199999999694, 0.240000000000002, 0.3999999999999986, 0.5]
s06e15d		[]	[]	[]
