episode	text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
s05e17a		[]	[]	[]
s05e17a		[]	[]	[]
s05e17a	good. you guys	['you', 'guys']	[3.9199998, 4.16]	[0.24000020000000033, 0.1599997000000002]
s05e17a	 are all here. hey, what's	"['are', 'all', 'here', 'hey', ""what's""]"	[4.3199997, 4.48, 4.64, 5.2, 5.52]	[0.1600003000000001, 0.15999999999999925, 0.5, 0.3199999999999994, 0.31999970000000033]
s05e17a	 up? well, i have a	['up', 'well', 'i', 'have', 'a']	[5.8399997, 6.3199997, 6.7999997, 6.96, 7.12]	[0.4800000000000004, 0.47999999999999954, 0.1600003000000001, 0.16000000000000014, 0.1599997000000002]
s05e17a	 job interview at ralph	['job', 'interview', 'at', 'ralph']	[7.2799997, 7.52, 8.535, 8.615]	[0.24000029999999928, 0.5, 0.08000000000000007, 0.31999899999999926]
s05e17a	 lauren tomorrow.  oh...	['lauren', 'tomorrow', 'oh']	[8.934999, 9.415, 9.975]	[0.4800009999999997, 0.5, 0.40000000000000036]
s05e17a	 congratulations.	['congratulations', 'i']	[10.375, 11.495]	[0.5, 0.16000000000000014]
s05e17a	 oh, boy, that guy's underwear	"['know', 'boy', 'that', ""guy's"", 'underwear']"	[11.655, 11.975, 12.215, 12.375, 12.615]	[0.3200000000000003, 0.2400000000000002, 0.16000000000000014, 0.2400000000000002, 0.5]
s05e17a	 sucks.	['sucks']	[13.254999]	[0.5]
s05e17a	 what?	['what']	[15.735]	[0.5]
s05e17a	 oh, i got this pair	['i', 'got', 'this', 'pair']	[16.85, 16.93, 17.17, 17.33]	[0.0799999999999983, 0.240000000000002, 0.1599999999999966, 0.2400020000000005]
s05e17a	" marked ""xs."" let me tell"	['marked', 'excess', 'let', 'me', 'tell']	[17.570002, 18.050001, 18.69, 18.85, 19.01]	[0.47999900000000295, 0.5, 0.16000000000000014, 0.16000000000000014, 0.16000000000000014]
s05e17a	" you, there was no room for ""xs"""	"['you', ""there's"", 'no', 'room', 'for', 'excess']"	[19.17, 19.41, 19.730001, 19.890001, 20.130001, 20.29]	[0.23999999999999844, 0.3200010000000013, 0.16000000000000014, 0.23999999999999844, 0.15999899999999911, 0.40000000000000213]
s05e17a	 anything in there.	['anything', 'in', 'there']	[20.69, 21.09, 21.25]	[0.3999999999999986, 0.16000000000000014, 0.5]
s05e17a	  anyway i'm going	"['anyway', ""i'm"", 'gonna']"	[23.01, 23.490002, 23.650002]	[0.48000199999999893, 0.16000000000000014, 0.15999899999999911]
s05e17a	 to be the coordinator of the women's	"['be', 'the', 'coordinator', 'of', 'the', ""women's""]"	[23.810001, 23.890001, 24.050001, 24.53, 24.61, 24.69]	[0.08000000000000185, 0.16000000000000014, 0.4799989999999994, 0.0799999999999983, 0.08000000000000185, 0.3149999999999977]
s05e17a	 collection. i'll work right under the director.	"['collection', ""i'll"", 'work', 'right', 'under', 'the', 'director']"	[25.085, 25.404999, 25.484999, 25.724998, 26.044998, 26.285, 26.365]	[0.31999899999999926, 0.0799999999999983, 0.23999900000000096, 0.3200000000000003, 0.2400020000000005, 0.0799999999999983, 0.40000000000000213]
s05e17a	 i mean, it's the perfect	"['i', 'mean', ""it's"", 'the', 'perfect']"	[26.765, 26.845, 27.005, 27.244999, 27.484999]	[0.0799999999999983, 0.16000000000000014, 0.23999900000000096, 0.23999999999999844, 0.5]
s05e17a	 perfect job for me.	['perfect', 'job', 'for', 'me']	[28.204998, 28.685, 29.005, 29.164999]	[0.48000199999999893, 0.3200000000000003, 0.15999900000000267, 0.4799999999999969]
s05e17a	 well, if you nail the	['wow', 'well', 'if', 'you', 'nail', 'the']	[29.644999, 30.125, 30.364998, 30.605, 30.685, 31.005]	[0.48000100000000145, 0.23999799999999993, 0.2400020000000005, 0.0799999999999983, 0.3200000000000003, 0.08000000000000185]
s05e17a	 interview, you'll get it. you	"['interview', ""you'll"", 'get', 'it', 'yeah', 'you']"	[31.085, 31.484999, 31.644999, 31.804998, 32.125, 32.605]	[0.39999899999999755, 0.16000000000000014, 0.15999900000000267, 0.3200019999999988, 0.4799999999999969, 0.1600000000000037]
s05e17a	 want to work on your interview	['wanna', 'work', 'on', 'your', 'interview']	[32.765, 33.004997, 33.245, 33.324997, 33.565]	[0.23999700000000246, 0.24000299999999442, 0.07999700000000587, 0.24000299999999442, 0.3200000000000003]
s05e17a	 skills? okay. okay.	['skills', 'oh', 'okay', 'okay']	[33.885, 34.46, 34.7, 35.02]	[0.41499999999999915, 0.240000000000002, 0.3200000000000003, 0.5]
s05e17a	 all right. let's start with	"['alright', ""let's"", 'start', 'with']"	[36.059998, 36.46, 36.7, 36.94]	[0.40000200000000063, 0.240000000000002, 0.23999999999999488, 0.1600000000000037]
s05e17a	 the handshake.	['the', 'handshake']	[37.1, 37.26]	[0.1599999999999966, 0.5]
s05e17a		['hi']	[39.5]	[0.5]
s05e17a	 hi. hi. very good	['hi', 'has', 'very', 'good']	[40.059998, 40.46, 40.78, 41.1]	[0.40000200000000063, 0.3200000000000003, 0.3200000000000003, 0.240000000000002]
